"Prioritisation","ID","Date Added","Date of Publishing","Summary","Data Source","Probability of UK alert","Product Category","Raw Product Phrase","Commodity / Product","Country of Origin","Notified by","Hazard Description","Hazard Group","Incident Title","Alert Type","Link","Food, Feed or FCM","Manufacturer","Brand","Organisations","Source Type","Is A Food Article","Eu/non-EU Country of Origin","EU/non-EU Notifying Country"
"HIGH","217858","2020-05-02","2020-05-01","possible bacterial contamination: ","Switzerland_FAR","0",NA,"",NA,"Switzerland","Switzerland","possible bacterial contamination","microbial contaminants (other)","Coop calls the product the Prix Garantie Corn 285 g because of a possible bacterial contamination back","recall","https://www.blv.admin.ch/dam/blv/de/dokumente/rueckrufe/rr-rueckruf-mais-coop.pdf","food",NA,NA,"Coop Genossenschaft, Coop, BaselTel, Nhte, Supermarkets","Official","Yes","EU","EU"
"HIGH","217859","2020-05-02","2020-05-01","undeclared peanut: ritz crackers","FDA_FAR","0","cereals and bakery products","ritz crackers","cracker","USA","USA","undeclared peanut","allergens","Mondelez Global LLC Conducts Voluntary Recall of Limited Quantity of RITZ Cheese Cracker Sandwiches Family Size Product in the U.S. Due to Undeclared Peanut on Outer Packaging","recall","https://www.fda.gov/safety/recalls-market-withdrawals-safety-alerts/mondelez-global-llc-conducts-voluntary-recall-limited-quantity-ritz-cheese-cracker-sandwiches-family","food",NA,"nabisco","Ritz, Mondelez Global LLC, Food & Beverages, Mondelez Global LLC Conducts Voluntary Recall of Limited Quantity, Nabisco","Official","Yes","non_EU","non_EU"
"MEDIUM","229289-29289","2020-08-24","2020-08-21","extraneous material: chicken gyoza dumplings sesame ginger","Canada_FAR","0","poultry meat and poultry meat products","chicken gyoza dumplings sesame ginger","chicken","Canada","Canada","extraneous material","foreign bodies","Notification - Summ! brand Chicken Gyoza Dumplings recalled due to pieces of bone","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-21-r13961/eng/1598031909491/1598031915401","food","fine choice foods ltd.","summ!","Fine Choice Foods Ltd., Notification - Summ, Chicken Gyoza Dumplings","Official","Yes","non_EU","non_EU"
"MEDIUM","229290-29289","2020-08-24","2020-08-21","extraneous material: chicken gyoza dumplings (steamed)","Canada_FAR","0","poultry meat and poultry meat products","chicken gyoza dumplings (steamed)","chicken","Canada","Canada","extraneous material","foreign bodies","Notification - Summ! brand Chicken Gyoza Dumplings recalled due to pieces of bone","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-21-r13961/eng/1598031909491/1598031915401","food","fine choice foods ltd.","summ!","Fine Choice Foods Ltd., Notification - Summ, Chicken Gyoza Dumplings","Official","Yes","non_EU","non_EU"
"MEDIUM","229295","2020-08-22","2020-08-21","ochratoxin A: basmati rice","RASFF","0","cereals and bakery products","basmati rice","rice","United Kingdom","Switzerland","ochratoxin A","mycotoxins","ochratoxin A (8.3 Âµg/kg - ppb) in basmati rice from unknown origin, packaged in the United Kingdom","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3373","food",NA,NA,"","Official","Yes","EU","EU"
"MEDIUM","229302","2020-08-22","2020-08-21","Aflatoxin: pistachios","RASFF","0","nuts, nut products and seeds","pistachios","pistachio","Iran","Spain","Aflatoxin","mycotoxins","aflatoxins (B1 = 94; Tot. = 101 Âµg/kg - ppb) in pistachios from Iran","border rejection","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3366","food",NA,NA,"","Official","Yes","non_EU","EU"
"MEDIUM","229304","2020-08-22","2020-08-21","glass fragments: lemon beer","RASFF","0","alcoholic beverages","lemon beer","lemon","Germany","Germany","glass fragments","foreign bodies","glass fragments in lemon beer from Germany","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3364","food",NA,NA,"","Official","Yes","EU","EU"
"MEDIUM","229305","2020-08-22","2020-08-21","unauthorised substance prometryn: parsley leaf bundle","RASFF","0",NA,"parsley leaf bundle","parsley","Italy","Slovakia","unauthorised substance prometryn","Unauthorised Pesticides","unauthorised substance prometryn (0.044 mg/kg - ppm) in parsley leaf bundle from Italy, via the Netherlands","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3363","food",NA,NA,"","Official","Yes","EU","EU"
"MEDIUM","229308","2020-08-22","2020-08-21","ochratoxin A: liquorice root raw material","RASFF","0","confectionery","liquorice root raw material","liquorice root material","Ukraine","Romania","ochratoxin A","mycotoxins","ochratoxin A (63.85 Âµg/kg - ppb) in liquorice root raw material from Ukraine","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3353","food",NA,NA,"","Official","Yes","non_EU","EU"
"MEDIUM","229205","2020-08-21","2020-08-21","the withdrawal: smoked fish","FSN_FAR","0","fish and fish products","smoked fish","fish","France","","the withdrawal","not determined / other","French agency warns about products from Djen Foods","recall","https://www.foodsafetynews.com/2020/08/french-agency-warns-about-products-from-djen-foods/","food",NA,NA,"Le Parisien, Djen Foods, DGAL, The Ministry of Agriculture and Food, Food Safety News","Others","Yes","EU",""
"MEDIUM","229163","2020-08-21","2020-08-20","esters: pistachioalmond cookies","Luxembourg_FAR","0","nuts, nut products and seeds","pistachioalmond cookies","almond","Luxembourg","Luxembourg","esters","chemical contamination","Rappel : Pistachio-Almond Cookies, Butter Cookies et Cashew Cookies de la marque Britannia (Good Day) - Esters dacides gras de glycidol","recall","https://securite-alimentaire.public.lu/fr/actualites/alertes/2020/Aout/pistachio-almond-butter-cashew-cookies-britannia-esters-glycidol.html","food",NA,"britannia (good day)","A01TVent, Indian Spice BazarNameCashew, Indian Spice, RASFF (Rapid Alert System for Food and Feed, International Agency for Research on Cancer","Official","Yes","EU","EU"
"MEDIUM","229167","2020-08-21","2020-08-20","an insect repellent: paprikamix (red - green - yellow), brand hoogstraten, 500 g","Germany_FAR","0","herbs and spices","paprikamix (red - green - yellow), brand hoogstraten, 500 g","paprika","Germany","Germany","an insect repellent","foreign bodies","Warning for the product paprika-mix (red - green - yellow), brand hoogstraten, 500 g for an insect repellent has been detected in the product.","recall","https://www.lebensmittelwarnung.de/bvl-lmw-de/detail/lebensmittel/56631","food",NA,NA,"Hoogstraten, Fulda, Food GmbH &, Rhineland-Palatinate","Official","Yes","EU","EU"
"MEDIUM","229201","2020-08-21","2020-08-20","methanol: florance morris antiseptic hand sanitizer, alcohol","Food_Poisoning_Bulletin","0","non-alcoholic beverages","florance morris antiseptic hand sanitizer, alcohol","hand alcohol","USA","USA","methanol","process contaminants","Florance Morris Antiseptic Hand Sanitizer Recalled For Methanol","recall","https://foodpoisoningbulletin.com/2020/florance-morris-antiseptic-hand-sanitizer-recalled-for-methanol/","food",NA,NA,"Florance Morris Antiseptic Hand Sanitizer, Grupo Asimex de Mexico SA de CV, FDA","Others","Yes","non_EU","non_EU"
"MEDIUM","229223","2020-08-21","2020-08-19","migration: metal cooking pot","RASFF","0","food contact materials","metal cooking pot","metal cooking pot","Senegal","Belgium","migration","packaging defective / food contact material","migration of lead (0.018 mg/kg - ppm) and of aluminium (36 mg/kg - ppm) from metal cooking pot from Senegal","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3315","FCM",NA,NA,"FCM","Official","Yes","non_EU","EU"
"MEDIUM","229227","2020-08-21","2020-08-19","glycidyl esters: butter cookies","RASFF","0","milk and milk products","butter cookies","butter","India","Germany","glycidyl esters","chemical contamination","glycidyl esters (4697 Âµg/kg - ppb) and high content of acrylamide (497 Âµg/kg - ppb) in butter cookies from India, manufactured in Oman, via the United Kingdom","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3323","food",NA,NA,"glycidyl","Official","Yes","non_EU","EU"
"MEDIUM","229229","2020-08-21","2020-08-19","3monochlor12propanediol 3MCPD: cashew cookies","RASFF","0","confectionery","cashew cookies","cashew","Oman","Germany","3monochlor12propanediol 3MCPD","process contaminants","3-monochlor-1,2-propanediol (3-MCPD) (2941 Âµg/kg - ppb) and glycidyl esters (2923 Âµg/kg - ppb) in cashew cookies from Oman, produced for India, via the United Kingdom","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3322","food",NA,NA,"","Official","Yes","non_EU","EU"
"MEDIUM","229176","2020-08-21","2020-08-18","migration: metal pot","Belgium_FAR","0","food contact materials","metal pot","metal pot","Belgium","Belgium","migration","packaging defective / food contact material","migration of lead and aluminum to food","recall","http://www.favv-afsca.fgov.be/consommateurs/rappelsdeproduits/2020/2020-08-18.asp","fcm",NA,NA,"fcm, Wavre Causeway 107","Official","Yes","EU","EU"
"MEDIUM","229230","2020-08-21","2020-08-18","glycidyl esters: pistachioalmond cookies","RASFF","0","nuts, nut products and seeds","pistachioalmond cookies","almond","India","Germany","glycidyl esters","chemical contamination","glycidyl esters (4340 Âµg/kg - ppb) in pistachio-almond cookies from India, manufactured in Oman, via the United Kingdom","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3314","food",NA,NA,"glycidyl","Official","Yes","non_EU","EU"
"MEDIUM","229239","2020-08-21","2020-08-18","Aflatoxin: chakki atta wheat flour","RASFF","0","cereals and bakery products","chakki atta wheat flour","wheat","Nepal","United Kingdom","Aflatoxin","mycotoxins","aflatoxins (B1 = 7.5; Tot. = 8.2 Âµg/kg - ppb) in chakki atta wheat flour from Nepal, via India","border rejection","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3307","food",NA,NA,"chakki atta wheat","Official","Yes","non_EU","EU"
"MEDIUM","229250","2020-08-21","2020-08-17","Aflatoxin: dried figs","RASFF","0","fruits and vegetables","dried figs","fig","Turkey","Belgium","Aflatoxin","mycotoxins","aflatoxins (B1 = 10.5; Tot. = 25.1 Âµg/kg - ppb) in dried figs from Turkey","border rejection","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3281","food",NA,NA,"","Official","Yes","non_EU","EU"
"MEDIUM","229251","2020-08-21","2020-08-17","foreign body: vanillin","RASFF","0",NA,"vanillin","vanillin","China","Austria","foreign body","foreign bodies","foreign body in vanillin from China","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3293","food",NA,NA,"","Official","Yes","non_EU","EU"
"MEDIUM","229256","2020-08-21","2020-08-14","sufficient withdrawal period: chilled buffalo meat","RASFF","0","meat and meat products (other than poultry)","chilled buffalo meat","beef","Italy","Italy","sufficient withdrawal period","not determined / other","chilled meat from Italy from buffalo which has not undergone sufficient withdrawal period for veterinary medicine","information for attention","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3290","food",NA,NA,"","Official","Yes","EU","EU"
"MEDIUM","229260","2020-08-21","2020-08-14","metal pieces: baby food","RASFF","0","dietetic foods, food supplements, fortified foods","baby food","baby food","Sweden","Denmark","metal pieces","foreign bodies","metal nuts in baby food from Sweden","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3288","food",NA,NA,"","Official","Yes","EU","EU"
"MEDIUM","229265","2020-08-21","2020-08-14","glass fragments: jar of olive paste","RASFF","0","fruits and vegetables","jar of olive paste","olive","Greece","Germany","glass fragments","foreign bodies","glass fragments in jar of olive paste from Greece","alert","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3283","food",NA,NA,"","Official","Yes","EU","EU"
"MEDIUM","229273","2020-08-21","2020-08-13","Aflatoxin: shelled groundnuts","RASFF","0","feed materials","shelled groundnuts","groundnut","Argentina","United Kingdom","Aflatoxin","mycotoxins","aflatoxins (B1 = 74 Âµg/kg - ppb) in shelled groundnuts from Argentina","border rejection","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3258","feed",NA,NA,"","Official","Yes","non_EU","EU"
"MEDIUM","229275","2020-08-21","2020-08-13","Aflatoxin: shelled almonds","RASFF","0","nuts, nut products and seeds","shelled almonds","almond","USA","Spain","Aflatoxin","mycotoxins","aflatoxins (B1 = >24; Tot. = >24 Âµg/kg - ppb) in shelled almonds from the United States","border rejection","https://webgate.ec.europa.eu/rasff-window/portal/?event=notificationDetail&NOTIF_REFERENCE=2020.3243","food",NA,NA,"","Official","Yes","non_EU","EU"
"MEDIUM","229151","2020-08-21","2020-08-07","the water tank: water tank","Netherlands_FAR","0","non-alcoholic beverages","water tank","water tank","Netherlands","Netherlands","the water tank","packaging defective / food contact material","Belangrijke veiligheidswaarschuwing Super Soaker XP20 & XP30","recall","https://www.nvwa.nl/documenten/waarschuwingen/2020/08/07/belangrijke-veiligheidswaarschuwing-super-soaker-xp20--xp30","food",NA,NA,"hasbro, Super Soakers, Hasbro, Super Soaker, Belangrijke veiligheidswaarschuwing Super Soaker","Official","Yes","EU","EU"
"MEDIUM","229113-29113","2020-08-20","2020-08-12","extraneous material: beef bulgogi","Canada_FAR","0","meat and meat products (other than poultry)","beef bulgogi","beef","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229114-29113","2020-08-20","2020-08-12","extraneous material: pork bulgogi","Canada_FAR","0","meat and meat products (other than poultry)","pork bulgogi","pork","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229115-29113","2020-08-20","2020-08-12","extraneous material: seasoned assorted vegi (small)","Canada_FAR","0",NA,"seasoned assorted vegi (small)","unknown","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229116-29113","2020-08-20","2020-08-12","extraneous material: spicy beef soup","Canada_FAR","0","meat and meat products (other than poultry)","spicy beef soup","beef","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Spicy Beef Soup, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229117-29113","2020-08-20","2020-08-12","extraneous material: boiled soy pulp (large)","Canada_FAR","0","fruits and vegetables","boiled soy pulp (large)","soy pulp","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229118-29113","2020-08-20","2020-08-12","extraneous material: boiled soy pulp (small)","Canada_FAR","0","fruits and vegetables","boiled soy pulp (small)","soy pulp","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229119-29113","2020-08-20","2020-08-12","extraneous material: g mackerel boiled","Canada_FAR","0","fish and fish products","g mackerel boiled","mackerel","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229120-29113","2020-08-20","2020-08-12","extraneous material: black bean sauce","Canada_FAR","0","fruits and vegetables","black bean sauce","black bean","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Black Bean Sauce, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229121-29113","2020-08-20","2020-08-12","extraneous material: pollack soup","Canada_FAR","0","fish and fish products","pollack soup","pollock","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229122-29113","2020-08-20","2020-08-12","extraneous material: potato & pork bone soup","Canada_FAR","0","meat and meat products (other than poultry)","potato & pork bone soup","potato","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Potato & Pork Bone Soup, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229123-29113","2020-08-20","2020-08-12","extraneous material: seasoned seaweed","Canada_FAR","0","fruits and vegetables","seasoned seaweed","seaweed","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229124-29113","2020-08-20","2020-08-12","extraneous material: tofu soup","Canada_FAR","0","soups, broths, sauces and condiments","tofu soup","soybean","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Tofu Soup, Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229125-29113","2020-08-20","2020-08-12","extraneous material: crab soup with vegi","Canada_FAR","0","crustaceans and products thereof","crab soup with vegi","crab","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229126-29113","2020-08-20","2020-08-12","extraneous material: soy bean soup","Canada_FAR","0","fruits and vegetables","soy bean soup","soybean","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229127-29113","2020-08-20","2020-08-12","extraneous material: well being vegi","Canada_FAR","0",NA,"well being vegi","unknown","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229128-29113","2020-08-20","2020-08-12","extraneous material: seasoned rice cake & korean sausage","Canada_FAR","0","meat and meat products (other than poultry)","seasoned rice cake & korean sausage","meat product","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229129-29113","2020-08-20","2020-08-12","extraneous material: nappa & soy bean soup","Canada_FAR","0","soups, broths, sauces and condiments","nappa & soy bean soup","soybean","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Nappa & Soy Bean Soup, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229130-29113","2020-08-20","2020-08-12","extraneous material: spicy sausage stew (ready to cook)","Canada_FAR","0","meat and meat products (other than poultry)","spicy sausage stew (ready to cook)","meat product","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229131-29113","2020-08-20","2020-08-12","extraneous material: chapchae (with beef)","Canada_FAR","0",NA,"chapchae (with beef)","beef","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229132-29113","2020-08-20","2020-08-12","extraneous material: soy bean paste with vegi","Canada_FAR","0","fruits and vegetables","soy bean paste with vegi","soybean","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229133-29113","2020-08-20","2020-08-12","extraneous material: spicy seafood soup","Canada_FAR","0","soups, broths, sauces and condiments","spicy seafood soup","seafood soup","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229134-29113","2020-08-20","2020-08-12","extraneous material: combo lunch special","Canada_FAR","0",NA,"combo lunch special","lunch","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229135-29113","2020-08-20","2020-08-12","extraneous material: seasoned squid & vegi","Canada_FAR","0","cephalopods and products thereof","seasoned squid & vegi","squid","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Seasoned Squid & Vegi, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229136-29113","2020-08-20","2020-08-12","extraneous material: rice cake with hot sauce","Canada_FAR","0","soups, broths, sauces and condiments","rice cake with hot sauce","bakery product","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229137-29113","2020-08-20","2020-08-12","extraneous material: budae gigae","Canada_FAR","0",NA,"budae gigae","unknown","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229138-29113","2020-08-20","2020-08-12","extraneous material: tofu soup with seafood","Canada_FAR","0","soups, broths, sauces and condiments","tofu soup with seafood","soybean","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Tofu Soup with Seafood, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229139-29113","2020-08-20","2020-08-12","extraneous material: oriental style noodle","Canada_FAR","0","cereals and bakery products","oriental style noodle","style noodle","Canada","Canada","extraneous material","foreign bodies","Notification - Galleria Supermarket brand Prepared Meals recalled due to pieces of plastic","recall","https://www.inspection.gc.ca/food-recall-warnings-and-allergy-alerts/2020-08-12-r13950/eng/1597858555730/1597858561527","food","galleria supermarket","galleria supermarket","Notification - Galleria Supermarket, Galleria Supermarket","Official","Yes","non_EU","non_EU"
"MEDIUM","229087","2020-08-19","2020-07-31","weakened immune systems: chicken and mayo sandwich","UK_updated_FAR","0","poultry meat and poultry meat products","chicken and mayo sandwich","bakery product","United Kingdom","United Kingdom","weakened immune systems","packaging defective / food contact material","Bread Spread recalls all sandwiches, wraps, rolls and baguettes containing chicken because of possible contamination with Listeria monocytogenes","recall","https://www.food.gov.uk/news-alerts/alert/fsa-prin-33-2020","food",NA,NA,"Bread Spread Ltd, Mayo, Chicken","Official","Yes","EU","EU"
